quilates,porcentaje profundidad,ancho superior,price
0.5,62.3,55.0,1845
1.54,63.6,60.0,10164
1.32,61.7,60.0,5513
1.2,62.1,55.0,5174
1.73,61.2,60.0,10957
0.91,61.3,56.0,4029
2.3,61.3,58.0,11051
0.73,59.8,58.0,3250
0.7,62.4,54.0,3585
0.33,61.7,55.0,573
1.09,62.4,64.0,4700
1.24,61.4,63.0,5444
0.51,63.6,57.0,1116
0.32,63.4,55.0,540
0.58,62.1,56.0,2529
1.51,58.3,59.0,12644
0.9,63.9,57.0,4463
1.04,62.2,56.0,4077
0.42,61.8,57.0,1024
0.56,61.0,57.0,1978
1.02,60.5,57.0,6356
0.39,62.0,54.4,670
1.23,61.7,58.0,5521
0.73,61.9,55.0,2575
1.02,57.5,62.0,3909
0.55,61.0,59.0,1831
0.31,63.8,56.0,586
1.2,63.1,56.0,4232
0.25,62.3,55.0,633
0.49,62.3,55.0,1934
0.33,62.3,57.0,743
0.75,62.5,57.0,2893
1.15,63.0,54.0,4483
0.75,60.2,60.0,2968
0.34,61.5,55.0,495
0.71,61.2,61.0,2266
1.0,62.7,59.0,4095
1.01,63.6,57.0,6905
0.31,62.2,57.0,625
0.9,60.5,57.0,3704
1.51,59.9,56.0,9471
1.5,62.8,57.0,8538
0.54,62.7,57.0,1111
0.35,62.3,57.0,614
1.52,64.9,58.0,7388
0.57,61.7,54.0,2095
1.16,60.5,58.0,10850
1.54,61.1,58.0,5028
2.01,60.5,59.0,14637
0.53,61.8,55.0,1721
0.9,62.6,57.0,4455
1.5,62.9,56.0,9954
0.34,63.9,56.0,417
0.44,62.0,55.0,869
1.82,67.3,58.0,5993
0.4,60.6,65.0,1110
0.41,60.8,61.0,830
0.4,62.4,58.0,1017
0.74,63.3,57.0,2398
0.51,60.9,59.0,1569
0.74,62.6,65.0,2685
0.52,61.0,57.0,1767
1.08,62.1,53.0,8321
0.33,58.8,62.0,486
1.09,63.2,58.0,4766
0.51,61.7,54.0,1752
0.61,62.0,55.0,2029
0.31,61.3,56.0,507
0.52,62.2,56.0,2296
0.71,64.3,58.0,2258
1.11,62.5,58.0,4442
0.34,61.9,55.0,596
0.35,63.3,57.0,644
0.51,63.9,57.0,1925
1.56,62.3,54.0,15609
0.34,60.9,60.0,956
0.72,61.7,55.0,3568
1.32,62.6,62.0,6147
1.24,61.9,55.0,8693
0.38,61.9,57.0,751
0.73,62.2,57.0,2107
1.04,58.9,64.0,6151
0.41,61.7,57.0,899
0.71,61.2,57.0,2619
0.3,62.3,59.0,776
0.7,61.8,62.0,1914
0.62,61.6,56.0,1563
1.2,62.6,57.0,5053
1.04,60.7,59.0,4601
0.53,61.8,58.0,1255
1.25,62.2,58.0,5740
1.01,61.0,60.0,4121
1.04,62.5,55.0,8268
0.33,61.4,54.0,838
0.78,63.8,56.0,2759
0.28,60.2,58.0,604
0.4,62.0,55.0,737
0.9,64.4,58.0,3465
0.4,60.8,62.0,687
1.03,61.8,58.0,3945
0.23,60.0,57.0,402
0.32,61.0,56.0,758
2.03,62.4,59.0,18120
0.37,61.3,55.0,960
1.1,60.2,58.0,6653
0.72,62.0,54.8,3543
0.34,62.0,54.0,995
0.32,62.4,54.0,505
1.87,62.3,57.0,10137
0.33,62.6,57.0,743
0.51,61.7,55.0,2085
1.16,60.0,58.0,4872
1.71,61.6,57.0,10821
0.7,63.4,61.0,2176
2.03,62.4,59.0,18286
0.81,62.3,58.0,4209
0.93,59.3,61.0,3838
0.4,60.8,62.0,882
1.02,61.1,56.3,9521
0.5,62.8,61.0,1447
1.03,60.2,55.0,3974
0.95,56.0,60.0,2815
1.01,61.5,59.0,5303
0.42,60.6,61.0,926
1.0,61.5,57.0,5387
0.6,62.9,59.0,1773
1.01,59.5,57.0,5534
0.43,62.9,59.0,867
1.54,62.2,58.0,8656
0.35,61.2,58.0,614
0.35,61.4,55.0,906
1.09,61.7,59.0,4273
0.33,62.3,56.0,723
1.5,63.1,57.0,9384
1.02,62.7,55.0,7539
1.15,61.0,57.0,10546
0.9,57.5,60.0,3950
1.54,60.7,60.0,13284
0.62,58.9,58.0,2389
0.38,60.9,58.0,998
0.8,62.5,56.0,3066
1.2,61.0,59.0,11053
0.41,62.2,57.0,1115
1.01,63.7,56.0,4047
0.7,61.8,57.0,2298
1.54,61.5,57.0,11487
0.32,61.4,58.0,645
0.7,60.2,62.0,2843
0.34,61.2,58.0,803
0.7,62.2,55.0,2232
1.5,62.1,57.0,12156
1.29,62.1,58.0,6140
0.53,61.2,56.0,1830
1.6,61.7,56.0,10662
0.67,62.5,59.0,2211
1.23,59.7,58.0,7799
